left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-231.26235923697993,-297.8801985857027,-236.68940380868008,-306.50435748185384,-234.08982849121094,-302.37335205078125
-230.00391149455996,-298.75596989975566,-235.42806181260633,-307.3947466106393,-232.78831481933594,-303.1905517578125
-228.7543306534413,-299.61909420088534,-234.17466350483184,-308.2778826544538,-231.49632263183594,-303.99932861328125
-227.52298746505477,-300.47291115674466,-232.9361586112559,-309.1558574363166,-230.21820068359375,-304.796142578125
-226.3086131508619,-301.3131281621139,-231.7155943806797,-310.0284362593307,-228.9554901123047,-305.57952880859375
-225.11053970480387,-302.1411539064385,-230.50594486924658,-310.88779351627835,-227.70669555664062,-306.349853515625
-223.92274027123517,-302.95765750123167,-229.30543203542155,-311.73719463267815,-226.4680633544922,-307.1092529296875
-222.74324717699588,-303.770504989582,-228.11096114765098,-312.5810265660905,-225.23501586914062,-307.8604736328125
-221.56407886248323,-304.5786338365664,-226.9175904940272,-313.4188381170636,-224.0032501220703,-308.6064147949219
-220.3858952833524,-305.38831915505097,-225.72451287640217,-314.2576703786242,-222.76980590820312,-309.3488464355469
-219.2053934371333,-306.2013542453731,-224.5354281843456,-315.10506482035595,-221.53285217285156,-310.0893249511719
-218.0214145609572,-307.01649421893256,-223.3439157224385,-315.95194055134385,-220.2920379638672,-310.82843017578125
-216.83692864608406,-307.8384445328184,-222.15070730955674,-316.7984686712431,-219.0477752685547,-311.56634521484375
-215.65004093395038,-308.66152451023737,-220.95360302352617,-317.64110227892934,-217.80072021484375,-312.3028869628906
-214.45752024492546,-309.4794886605016,-219.75097022929916,-318.47463962618434,-216.55160522460938,-313.0379638671875
-213.26457224426412,-310.3001841397373,-218.5454033110635,-319.30230966107564,-215.3009796142578,-313.7716064453125
-212.06993312313534,-311.11942821027606,-217.3387337348706,-320.1289894063957,-214.049072265625,-314.50372314453125
-210.87017594396644,-311.93329219760534,-216.1288814822404,-320.9489216503666,-212.7958526611328,-315.2347106933594
-209.67154493569103,-312.751474125524,-214.9160959606294,-321.76649846392286,-211.54090881347656,-315.96478271484375
-208.4721451254366,-313.5728046575529,-213.69899283108043,-322.57997849261534,-210.28359985351562,-316.69439697265625
-207.265288465586,-314.38738280120884,-212.4743504246467,-323.3857546487201,-209.02317810058594,-317.4240417480469
-206.0485648931571,-315.19337086051996,-211.24274093145183,-324.18708091905484,-207.75863647460938,-318.15435791015625
-204.81940906618786,-315.98717671549156,-210.00148925283978,-324.9831589323546,-206.48907470703125,-318.88568115234375
-203.5824923760069,-316.7789267269046,-208.74868386504272,-325.7708069608515,-205.21385192871094,-319.61834716796875
-202.34090809787347,-317.5738098364773,-207.4845603075942,-326.5509265870311,-203.9329071044922,-320.352294921875
