,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,171.88, 2:51.880,270.205,185.534,2797
1,2.0,111.857, 1:51.857,269.75,184.079,2816
2,3.0,112.667, 1:52.667,270.24,185.301,2800
3,4.0,111.993, 1:51.993,270.24,185.233,2799
4,5.0,111.967, 1:51.967,270.26,185.857,2786
5,6.0,111.417, 1:51.417,270.39,185.539,2792
6,7.0,111.697, 1:51.697,270.37,186.037,2786
7,8.0,111.417, 1:51.417,270.34,185.453,2796
8,9.0,111.857, 1:51.857,270.27,186.007,2786
9,10.0,111.453, 1:51.453,270.54,168.631,3094
10,11.0,123.73, 2:03.730,270.245,177.848,2913
11,12.0,116.547, 1:56.547,80.345,76.786,286
