step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
233,1,221276,82.04966425895691,236,3.284098541913175,234,1,0,1.6417748154052454,5.992187023162842,0.0,0.0,4.806866956511133e-07,1.6000000044869012e-06,1.675766452822297e-07,0.04001345407725416,0.04142210000000546,0.0006026962693105876,0.041345912000003864,6,4.823390557935786e-05,0.00046570000000656364,2.8619888801026936e-05,,,,,,,,,
631,2,221674,99.46476602554321,637,3.5468620302058134,399,2,0,1.0553196507074547,5.938258647918701,0.0,0.0,5.402010047681248e-07,3.3000000030369847e-06,2.7223615180681436e-07,0.040013806532663454,0.04201880000000813,0.0008422282493644634,0.0415288329999889,44,4.725577889409142e-05,0.00018129999999416668,1.1963533546748275e-05,,,,,,,,,
927,3,221970,112.75119113922119,936,2.6155638023386,297,3,0,0.7708402063571362,3.5709939002990723,0.0,0.0,5.570945945515399e-07,4.4000000087862645e-06,4.6260536184624726e-07,0.04001541148648637,0.0416049999999899,0.0005849825613046096,0.041071824999998084,7,4.587263513443539e-05,0.00010139999999125848,8.830255180879155e-06,,,,,,,,,
1201,4,222244,125.18811106681824,1213,13.701330298098618,275,4,0,5.9614433738400905,12.106764793395996,0.0,0.0,4.872262765051857e-07,1.6999999843392288e-06,1.3048606495853161e-07,0.04000916131386964,0.04188419999999837,0.0006186470475592738,0.04110522200001014,10,4.407627737240642e-05,0.0001412000000016178,9.037855464909622e-06,,,,,,,,,
1277,5,222320,129.65216207504272,1292,4.168792159002311,77,5,0,6.432060474956215,12.451067924499512,0.0,0.0,4.855263168822507e-07,7.999999809271685e-07,8.691185335992507e-08,0.040030525000000684,0.04170999999999481,0.0006590293512599889,0.04135569999998978,4,4.619473684080707e-05,8.729999998990934e-05,9.656970413514265e-06,,,,,,,,,
1513,6,222556,140.54423189163208,1531,2.408776467620751,237,6,0,0.9029734380641964,5.538050174713135,0.0,0.0,4.868644071401354e-07,2.2000000114985596e-06,1.4857058649047921e-07,0.04000766271186531,0.04193549999999391,0.0007388089595955577,0.04170336999999904,12,4.456271186454788e-05,8.579999999369647e-05,7.64106098486063e-06,,,,,,,,,
1899,7,222942,157.45172142982483,1920,3.462752155650126,387,7,0,1.3360625126492953,7.897977828979492,0.0,0.0,4.994818656732464e-07,2.3999999996249244e-06,2.247617994650222e-07,0.04000958886010278,0.04202449999999658,0.000738190209178675,0.04165987499998777,22,4.8338341968640895e-05,0.00014529999998558196,1.3229987578478271e-05,,,,,,,,,
2136,8,223179,168.75488924980164,2160,3.3741720217908244,238,8,11,1.2954907803497857,5.225711345672607,0.0,0.0,0.00698197890295468,0.029789799999974775,0.006213105985976004,0.04169958523206758,1.2534581000000173,0.07930715799091116,0.04116655200000309,7,0.007183500421940118,1.2321680000000015,0.07976846089142987,,,,,,,,,
2432,9,223475,182.04201865196228,2459,4.8885580802979245,297,9,0,1.6194779841932516,5.076897621154785,0.0,0.0,0.011901561824325236,0.02947199999999839,0.0016695274588156782,0.040011399324323745,0.04173230000000672,0.0006304774680899869,0.041027609999986225,6,0.0053581479729725694,0.010521199999999453,0.0005682694503255365,,,,,,,,,
2594,10,223637,189.95088124275208,2624,3.4057016098021444,163,10,0,2.434601218064681,6.584081649780273,0.0,0.0,0.011949846296295445,0.02629360000000247,0.0021841123710834767,0.04001784876543083,0.04134429999999156,0.0007417741323084843,0.04125232700001021,8,0.005152293209875747,0.01056549999998424,0.0009992769342726296,,,,,,,,,
